,SE_NUMBER,TIME,BID_PRICE,PRICE,DATE
0,,,,,01-01-2020
1,1,08:30,42.300,42.750,02-01-2020
2,1,08:30,42.480,42.830,03-01-2020
3,1,09:25,42.800,43.150,04-01-2020
4,,,,,05-01-2020
5,1,08:35,43.650,44.100,06-01-2020
6,1,08:30,43.680,44.130,07-01-2020
7,1,08:15,43.650,44.000,08-01-2020
8,1,08:50,43.450,43.950,09-01-2020
9,1,08:30,42.900,43.400,10-01-2020
10,1,08:35,43.200,43.650,11-01-2020
11,,,,,12-01-2020
12,1,08:05,43.200,43.650,13-01-2020
13,1,08:30,42.650,43.050,14-01-2020
14,1,08:50,42.950,43.300,15-01-2020
15,1,08:25,43.000,43.350,16-01-2020
16,1,08:25,42.950,43.300,17-01-2020
17,1,08:30,43.100,43.450,18-01-2020
18,,,,,19-01-2020
19,1,08:35,43.300,43.700,20-01-2020
20,1,08:25,43.550,43.950,21-01-2020
21,1,08:30,43.250,43.650,22-01-2020
22,,,,,23-01-2020
23,,,,,24-01-2020
24,,,,,25-01-2020
25,,,,,26-01-2020
26,,,,,27-01-2020
27,,,,,28-01-2020
28,,,,,29-01-2020
29,1,08:20,43.300,43.750,30-01-2020
30,1,08:30,44.150,44.550,31-01-2020
31,1,08:30,44.350,44.750,01-02-2020
32,1,08:35,44.450,44.950,02-02-2020
33,1,07:20,44.350,44.850,03-02-2020
34,1,11:10,43.800,44.200,04-02-2020
35,1,10:35,43.250,43.750,05-02-2020
36,1,09:15,43.400,43.850,06-02-2020
37,1,08:40,43.600,44.000,07-02-2020
38,1,08:45,43.700,44.150,08-02-2020
39,,,,,09-02-2020
40,1,08:30,44.250,44.800,10-02-2020
41,1,08:55,43.900,44.250,11-02-2020
42,1,08:25,43.850,44.200,12-02-2020
43,1,08:30,43.900,44.250,13-02-2020
44,1,08:30,44.000,44.350,14-02-2020
45,1,08:40,44.060,44.430,15-02-2020
46,,,,,16-02-2020
47,1,08:30,44.050,44.400,17-02-2020
48,1,08:25,44.250,44.550,18-02-2020
49,1,08:20,44.630,44.980,19-02-2020
50,1,08:30,44.680,45.030,20-02-2020
51,1,08:30,44.900,45.300,21-02-2020
52,1,08:30,45.450,45.850,22-02-2020
53,,,,,23-02-2020
54,1,08:25,45.600,46.050,24-02-2020
55,1,09:00,46.500,47.800,25-02-2020
56,1,09:00,46.000,47.000,26-02-2020
57,1,08:25,46.150,46.950,27-02-2020
58,1,08:40,46.000,46.600,28-02-2020
59,1,08:35,44.600,45.600,29-02-2020
60,,,,,01-03-2020
61,1,08:40,45.750,46.200,02-03-2020
62,1,08:25,45.750,46.250,03-03-2020
63,1,08:35,46.800,47.600,04-03-2020
64,1,09:10,46.450,46.950,05-03-2020
65,1,08:30,46.850,47.350,06-03-2020
66,1,08:25,46.600,47.100,07-03-2020
67,,,,,08-03-2020
68,1,08:30,46.800,47.300,09-03-2020
69,1,08:35,47.050,47.650,10-03-2020
70,1,08:35,46.850,47.450,11-03-2020
71,1,09:00,46.650,47.250,12-03-2020
72,1,08:30,46.900,47.500,13-03-2020
73,,,,,14-03-2020
74,,,,,15-03-2020
75,,,,,16-03-2020
76,,,,,17-03-2020
77,,,,,18-03-2020
78,1,16:25,45.800,46.600,19-03-2020
79,1,09:40,46.000,46.800,20-03-2020
