,SE_NUMBER,TIME,BID_PRICE,PRICE,DATE,TITLE,CONTENT
0,,,,,01/01/2020,,
1,1.0,08:30,42.3,42.75,02/01/2020,,
2,1.0,08:30,42.48,42.83,03/01/2020,,
3,1.0,09:25,42.8,43.15,04/01/2020,,
4,,,,,05/01/2020,,
5,1.0,08:35,43.65,44.1,06/01/2020,,
6,1.0,08:30,43.68,44.13,07/01/2020,,
7,1.0,08:15,43.65,44.0,08/01/2020,,
8,1.0,08:50,43.45,43.95,09/01/2020,,
9,1.0,08:30,42.9,43.4,10/01/2020,,
10,1.0,08:35,43.2,43.65,11/01/2020,,
11,,,,,12/01/2020,,
12,1.0,08:05,43.2,43.65,13/01/2020,,
13,1.0,08:30,42.65,43.05,14/01/2020,,
14,1.0,08:50,42.95,43.3,15/01/2020,,
15,1.0,08:25,43.0,43.35,16/01/2020,,
16,1.0,08:25,42.95,43.3,17/01/2020,,
17,1.0,08:30,43.1,43.45,18/01/2020,,
18,,,,,19/01/2020,,
19,1.0,08:35,43.3,43.7,20/01/2020,,
20,1.0,08:25,43.55,43.95,21/01/2020,,
21,1.0,08:30,43.25,43.65,22/01/2020,,
22,,,,,23/01/2020,,
23,,,,,24/01/2020,,
24,,,,,25/01/2020,,
25,,,,,26/01/2020,,
26,,,,,27/01/2020,,
27,,,,,28/01/2020,,
28,,,,,29/01/2020,,
29,1.0,08:20,43.3,43.75,30/01/2020,,
30,1.0,08:30,44.15,44.55,31/01/2020,,
31,1.0,08:30,44.35,44.75,01/02/2020,,
32,1.0,08:35,44.45,44.95,02/02/2020,,
33,1.0,07:20,44.35,44.85,03/02/2020,,
34,1.0,11:10,43.8,44.2,04/02/2020,,
35,1.0,10:35,43.25,43.75,05/02/2020,,
36,1.0,09:15,43.4,43.85,06/02/2020,,
37,1.0,08:40,43.6,44.0,07/02/2020,,
38,1.0,08:45,43.7,44.15,08/02/2020,,
39,,,,,09/02/2020,,
40,1.0,08:30,44.25,44.8,10/02/2020,,
41,1.0,08:55,43.9,44.25,11/02/2020,,
42,1.0,08:25,43.85,44.2,12/02/2020,,
43,1.0,08:30,43.9,44.25,13/02/2020,,
44,1.0,08:30,44.0,44.35,14/02/2020,,
45,1.0,08:40,44.06,44.43,15/02/2020,,
46,,,,,16/02/2020,,
47,1.0,08:30,44.05,44.4,17/02/2020,,
48,1.0,08:25,44.25,44.55,18/02/2020,,
49,1.0,08:20,44.63,44.98,19/02/2020,,
50,1.0,08:30,44.68,45.03,20/02/2020,,
51,1.0,08:30,44.9,45.3,21/02/2020,,
52,1.0,08:30,45.45,45.85,22/02/2020,,
53,,,,,23/02/2020,,
54,1.0,08:25,45.6,46.05,24/02/2020,,
55,1.0,09:00,46.5,47.8,25/02/2020,,
56,1.0,09:00,46.0,47.0,26/02/2020,,
57,1.0,08:25,46.15,46.95,27/02/2020,,
58,1.0,08:40,46.0,46.6,28/02/2020,,
59,1.0,08:35,44.6,45.6,29/02/2020,,
60,,,,,01/03/2020,,
61,1.0,08:40,45.75,46.2,02/03/2020,,
62,1.0,08:25,45.75,46.25,03/03/2020,,
63,1.0,08:35,46.8,47.6,04/03/2020,,
64,1.0,09:10,46.45,46.95,05/03/2020,,
65,1.0,08:30,46.85,47.35,06/03/2020,,
66,1.0,08:25,46.6,47.1,07/03/2020,,
67,,,,,08/03/2020,,
68,1.0,08:30,46.8,47.3,09/03/2020,,
69,1.0,08:35,47.05,47.65,10/03/2020,,
70,1.0,08:35,46.85,47.45,11/03/2020,,
71,1.0,09:00,46.65,47.25,12/03/2020,,
72,1.0,08:30,46.9,47.5,13/03/2020,,
73,,,,,14/03/2020,,
74,,,,,15/03/2020,,
75,,,,,16/03/2020,,
76,,,,,17/03/2020,,
77,,,,,18/03/2020,,
78,1.0,16:25,45.8,46.6,19/03/2020,,
79,1.0,09:40,46.0,46.8,20/03/2020,,
80,1.0,08:30,45.75,46.55,21/03/2020,,
81,,,,,22/03/2020,,
82,1.0,08:30,45.8,46.5,23/03/2020,,
83,1.0,08:20,45.8,46.5,24/03/2020,,
84,1.0,08:25,46.5,47.2,25/03/2020,,
85,1.0,09:25,46.6,47.3,26/03/2020,,
86,1.0,08:35,47.05,47.85,27/03/2020,,
87,1.0,08:25,46.95,47.8,28/03/2020,,
88,,,,,29/03/2020,,
89,1.0,08:30,47.1,47.9,30/03/2020,,
90,1.0,08:55,47.1,48.3,31/03/2020,,
91,1.0,08:40,46.6,47.9,01/04/2020,,
92,1.0,16:00,47.05,48.05,02/04/2020,,
93,1.0,08:40,47.15,48.15,03/04/2020,,
94,,,,,04/04/2020,,
95,,,,,05/04/2020,,
96,1.0,15:10,47.0,48.0,06/04/2020,,
97,1.0,08:55,47.4,48.4,07/04/2020,,
98,1.0,10:05,47.0,47.9,08/04/2020,,
99,1.0,14:05,47.2,48.05,09/04/2020,,
100,1.0,08:40,47.6,48.45,10/04/2020,,
101,,,,,11/04/2020,,
102,,,,,12/04/2020,,
103,1.0,08:40,47.45,48.3,13/04/2020,,
104,1.0,08:25,47.55,48.4,14/04/2020,,
105,1.0,09:25,47.7,48.5,15/04/2020,,
106,1.0,08:30,47.55,48.35,16/04/2020,,
107,1.0,09:20,47.5,48.25,17/04/2020,,
108,,,,,18/04/2020,,
109,,,,,19/04/2020,,
110,1.0,08:25,47.4,48.15,20/04/2020,,
111,1.0,08:55,47.4,48.05,21/04/2020,,
112,1.0,09:00,47.5,48.15,22/04/2020,,
113,1.0,08:30,47.65,48.3,23/04/2020,,
114,1.0,08:30,47.75,48.4,24/04/2020,,
115,1.0,10:45,47.9,48.55,25/04/2020,,
116,,,,,26/04/2020,,
117,1.0,09:20,47.85,48.5,27/04/2020,,
118,1.0,10:40,47.75,48.4,28/04/2020,,
119,1.0,09:05,48.0,48.65,29/04/2020,,
120,,,,,30/04/2020,,
121,,,,,01/05/2020,,
122,,,,,02/05/2020,,
123,,,,,03/05/2020,,
