BID_PRICE,CONTENT,DATE,PRICE,TIME,TITLE,labels
66.5,"Lợi suất trái phiếu toàn cầu đang tăng lên, điều này đã tạo ra những cơn gió ngược cho tài sản không mang lãi suất như vàng.
Thời điểm 8h45 sáng nay ngày 24/5 theo giờ Việt Nam, giá vàng thế giới đứng ở mức 1.921 USD/ounce, tăng nhẹ 7 USD/ounce so với cùng giờ sáng qua. Đêm qua, đã có lúc giá quý kim tăng vọt lên mức 1.937 USD nhưng rồi lại quay đầu giảm mạnh ngay sau đó.
Lợi suất trái phiếu toàn cầu đang tăng lên, điều này đã tạo ra những cơn gió ngược cho tài sản không mang lãi suất như vàng. Trong nỗ lực hạ nhiệt lạm phát, các ngân hàng trung ương đang ráo riết tăng lãi suất để kìm hãm nền kinh tế. Các quan chức ngân hàng trung ương chỉ hy vọng rằng họ có thể hạ nhiệt lạm phát trước khi đẩy nền kinh tế toàn cầu vào suy thoái. 
Mới đây nhất, Ngân hàng Trung ương Anh đã gây bất ngờ với động thái tăng 50 điểm cơ bản. Ngân hàng trung ương của Na Uy cũng quyết định mức tăng tương tự và Ngân hàng Quốc gia Thụy Sĩ tăng 25 điểm cơ bản. Để hỗ trợ đồng tiền của mình, Thổ Nhĩ Kỳ thậm chí đã nâng mạnh lãi suất chuẩn từ 8,5% lên 15%.
Tuy nhiên, một số nhà phân tích cho rằng, kim loại quý này vẫn đang được hỗ trợ lâu dài bởi một số yếu tố. Thay vì xem xét chi phí cơ hội ngắn hạn của việc nắm giữ vàng trong môi trường lãi suất tăng, George Milling-Stanley, chiến lược gia trưởng về vàng tại State Street Global Advisors nói rằng, các nhà đầu tư nên xem xét cách kim loại quý có thể mang lại sự bảo vệ dài hạn và nâng cao lợi nhuận được điều chỉnh theo rủi ro.
Ông Stanley nhận định nếu thị trường vàng có thể tiếp tục giữ mức hỗ trợ quan trọng quanh mức 1.900 USD/ounce, thì rất có thể, kim loại quý sẽ kết thúc năm ở mức cao hơn.


Tại thị trường trong nước, mở cửa phiên giao dịch sáng nay, Công ty Vàng bạc đá quý Sài Gòn niêm yết giá vàng SJC mua vào bán ra ở mức 66,5 - 67,12 triệu đồng/lượng, tăng 50.000 đồng/lượng so với chốt phiên hôm trước.
Vàng Doji HN niêm yết giá vàng ở mức 66,4 - 67 triệu đồng/lượng, chưa đổi so với chốt phiên hôm qua.
Phú Quý SJC niêm yết giá vàng ở mức 66,45 - 67,05 triệu đồng/lượng, giữ nguyên so với phiên giao dịch trước đó.

Giá vàng tiếp tục giảm sâu, về mức thấp nhất trong vòng hơn 3 tháng qua.",24/06/2023,67.1,08:30,Giá vàng hôm nay 24/6: Vọt lên cao rồi cắm đầu lao dốc,increase
67.65,Tài khoản không đủ để thực hiện chức năng này. Vui lòng truy cập https://my.tiengviet.io/ và nạp thêm tiền vào tài khoản.,14/07/2022,68.25,09:00,Giá vàng hôm nay 14/7: Vàng trong nước tăng ngược chiều thế giới,increase
56.75,"Giá vàng hôm nay ngày 12/7/2021 biến động từ giảm 50.000 đến tăng 60.000 đồng/lượng. Biên độ chênh lệch mua vào bán ra từ 380.000 đến 770.000 đồng/lượng.
Giá vàng trong nước




Giá vàng SJC mua vào bán ra lần lượt là 56.700.000/lượng và 57.470.000/lượng (giảm 50.000/lượng). Mức chênh lệch mua bán 770.000/lượng
Tại Bảo Tín Minh Châu, giá vàng mua vào 56.860.000/lượng và bán ra 57.240.000/lượng. Giá chênh lệch mua bán là 380.000/lượng
Tại PNJ, giá vàng giao dịch ở 56.850.000/lượng mua vào và 57.500.000/lượng bán ra. Mức chênh mua vào bán ra 650.000/lượng
Giá vàng tại Phú Quý giao dịch ở mức 56.850.000/lượng mua vào (tăng 50.000/lượng) và 57.350.000/lượng bán ra (tăng 60.000/lượng). Mức chênh lệch mua vào bán ra là 500.000/lượng
Giá vàng tại DOJI mua vào bán ra lần lượt là 56.750.000/lượng (tăng 50.000/lượng) và 57.300.000/lượng (tăng 50.000/lượng). Mức chênh lệch mua bán là 550.000/lượng.

Giá vàng thế giới


Giá vàng thế giới giao ngay ở mức 1805.40 USD/oz, giảm 0.14%, tương đương 2.70 USD
Giá vàng thế giới tương lai giao dịch ở mức 1806.2 USD/oz, giảm 4.4 USD/oz, tương đương 0.24%

Theo cuộc khảo sát về diễn biến giá vàng trong tuần tới của. Kitco News, trong 16 nhà phân tích Phố Wall tham gia có 12 người, (tương đương 75%) dự báo giá vàng tăng. Trong khi đó, các nhà phân tích trung lập và dự báo giảm giá cùng chia đều 4 phiếu thăm dò (12,5%).
Còn tại Phố Main, trong 902 phiếu của cuộc thăm dò trực tuyến tuần này, có 550 người được hỏi (tương đương 61%) tin rằng giá vàng tăng trong tuần tới; 178 người khác (20%) dự báo thấp hơn, trong khi 174 người (19%) cho ý kiến trung lập.",12/07/2021,57.5,08:55,Giá vàng hôm nay ngày 12/7/2021: biến động nhẹ ngày đầu tuần,decrease
68.2,"Hôm qua, thị trường nhận thông tin về báo cáo thị trường lao động của Mỹ, ít nhiều ảnh hưởng tới giá quý kim. 
Thời điểm 8h45 sáng nay ngày 5/10 theo giờ Việt Nam, giá vàng thế giới đứng ở mức 1.826 USD/ounce, tăng nhẹ 4 USD/ounce so với cùng giờ sáng qua. Giá vàng đêm qua dao động trong biên độ rộng khi có lúc tăng lên 1.830 USD rồi lại giảm xuống chỉ còn 1.816 USD.
Hôm qua, thị trường nhận thông tin về báo cáo thị trường lao động của Mỹ, ít nhiều ảnh hưởng tới giá quý kim. Cụ thể, trong tháng 9, đã có 89.000 việc làm được tạo ra. Con số này thấp hơn đáng kể so mức kỳ vọng của các nhà kinh tế là 154.000 việc làm. Dữ liệu việc làm đáng thất vọng đã tạo ra một số động lực mua trên thị trường vàng khi giá được đẩy vào vùng tích cực trong ngày theo phản ứng ban đầu.
Hiện tại, các nhà giao dịch thực sự đang bắt đầu mong chờ báo cáo tình hình việc làm tháng 9 của Bộ Lao động Mỹ sẽ được công bố vào thứ 6. Số lượng việc làm phi nông nghiệp quan trọng dự báo tăng 170.000 so với mức tăng 187.000 trong báo cáo tháng 9.


Ông Marc Chandler, Giám đốc điều hành Bannockburn Global Forex nhận thấy, kim loại quý vẫn có tiềm năng tăng giá trở lại trong quý IV. Vị chuyên gia này dự báo, giá vàng cần phải trở về mức 1.885 USD/ounce để ổn định về mặt kỹ thuật và mức 1.892 USD/ounce để củng cố niềm tin của thị trường.
Cùng quan điểm, James Robertson, nhà phân tích tại Grant's Interest Rate Observer, cũng duy trì sự lạc quan khi cho rằng vàng vẫn là tài sản bảo hiểm thiết yếu khi rủi ro đối với nền kinh tế Mỹ tiếp tục gia tăng. Chuyên gia này lưu ý rằng, nhu cầu vàng của ngân hàng trung ương còn lâu mới bão hòa. Ông giải thích rằng sức mạnh dai dẳng của đồng USD có nghĩa là các quốc gia có khoản nợ bằng đồng tiền này tiếp tục phải đối mặt với chi phí tài chính cao và cách duy nhất để giảm những chi phí đó là đa dạng hóa khỏi đồng USD và vàng vẫn là tài sản tiền tệ toàn cầu hấp dẫn nhất.
Ở thị trường trong nước, mở cửa phiên giao dịch hôm nay, Công ty Vàng bạc đá quý Sài Gòn niêm yết giá vàng SJC mua vào bán ra ở mức 68,2 - 68,92 triệu đồng/lượng, tăng 50.000 đồng/lượng so với chốt phiên hôm qua.
Vàng Doji HN niêm yết giá vàng ở mức 68,05 - 68,95 triệu đồng/lượng, chưa đổi so với chốt phiên hôm trước.
Vàng PNJ niêm yết giá vàng SJC ở mức 68,15 - 68,85 triệu đồng/lượng, giữ nguyên so với phiên trước đó.

Trong khi giá vàng thế giới lao dốc, hiện ở vùng thấp nhất kể từ giữa tháng 3 tới nay, thì vàng miếng SJC vẫn neo cao. Chênh lệch lên tới 15 triệu đồng. Chuyên gia cho rằng,...",05/10/2023,68.9,09:20,Giá vàng hôm nay 5/10: Chuyên gia dự đoán lạc quan bất chấp đà giảm của vàng,decrease
74.3,"Giá vàng bật tăng khi căng thẳng quân sự leo thang ở Trung Đông kích hoạt hoạt động mua vào và tìm nơi trú ẩn an toàn.
Thời điểm 8h45 sáng nay ngày 30/1 theo giờ Việt Nam, giá vàng thế giới đứng ở mức 2.031 USD/ounce, tăng 8 USD/ounce so với cùng giờ sáng qua.
Giá vàng bật tăng khi căng thẳng quân sự leo thang ở Trung Đông kích hoạt hoạt động mua vào và tìm nơi trú ẩn an toàn. Ngoài ra, lợi suất trái phiếu kỳ hạn 10 năm của Mỹ trượt dốc cũng làm tăng sức hấp dẫn của vàng thỏi không mang lãi suất.
Trong ngắn hạn, giá vàng có thể sẽ giảm nhẹ hoặc đi ngang một cách thận trọng. Tuy nhiên trong dài hạn, những bất ổn địa chính trị đang diễn ra, kết hợp với dự đoán của thị trường về các quyết định chính sách của Fed, có thể sẽ duy trì sự quan tâm đến vàng như một tài sản trú ẩn an toàn. Hơn nữa, khả năng cắt giảm lãi suất vào cuối năm nay có thể làm giảm chi phí cơ hội của việc nắm giữ vàng thỏi, từ đó hỗ trợ giá vàng.​
Hiện tại, thị trường chờ đợi cuộc họp chính sách tiền tệ đầu tiên của Cục Dự trữ Liên bang Mỹ (Fed) trong năm 2024 sẽ diễn ra vào giữa tuần này để có thêm manh mối về thời điểm cắt giảm lãi suất đầu tiên trong năm nay của Mỹ.
Theo khảo sát của CME FedWatch, các thị trường đều tin rằng Fed sẽ giữ nguyên lãi suất tại cuộc họp chính sách vào ngày 30-31/1, nhưng đã bớt kỳ vọng về khả năng lãi suất giảm vào tháng 3/2024.
Một cuộc thăm dò của Reuters ngày 29-1 cho thấy sự không chắc chắn về nền kinh tế và nhiều ý kiến cho rằng, việc cắt giảm lãi suất của Mỹ có thể thúc đẩy giá vàng lên mức cao kỷ lục trong năm 2024.


Tại thị trường trong nước, mở cửa phiên giao dịch sáng nay, Công ty Vàng bạc đá quý Sài Gòn niêm yết giá vàng SJC mua vào bán ra ở mức 74,3 - 76,82 triệu đồng/lượng, chưa đổi so với chốt phiên gần nhất.
Vàng Doji HCM niêm yết giá vàng ở mức 74,15 - 76,75 triệu đồng/lượng, giữ nguyên so với chốt phiên liền trước.
Công ty Cổ phần Vàng Bạc Đá quý Phú Nhuận (PNJ) niêm yết giá vàng SJC tại thị trường Hà Nội ở mức 74,4 -76,8 triệu đồng/lượng. Giá vàng nhẫn niêm yết ở mức 62,75 - 64,05 triệu đồng/lượng, chưa đổi so với chốt phiên hôm qua.
Phú Quý SJC đang niêm yết vàng miếng SJC với giá 74,4 - 76,75 triệu đồng/lượng, giữ nguyên so với chốt phiên hôm trước.

Vàng vừa trải qua một tuần biến động liên tục nhưng trong phạm vi hẹp. Tới cuối tuần, giá vàng vẫn chưa có hướng đi nào cụ thể.",30/01/2024,76.8,08:55,"Giá vàng hôm nay 30/1: Nhiều yếu tố hỗ trợ, vàng bật tăng",increase
51.5,"Giá vàng lúc 9h19 ngày 22/7/2020 lên mức kỷ lục gần 53 triệu trong vòng 10 năm trở lại đây. với mức tăng từ 620.000 đến 1.450.000 /lượng. Giá chênh lệch mua bán giao động từ 700.000 đến 1.120.000 đồng/lượng.
Giá vàng trong nước


Giá vàng tại SJC tăng sốc 750.000/lượng chiều mua lên mức 51.800.000/lượng, trong khi chiều bán ghi nhận mức tăng kỷ lục 1.400.000/lượng lên mức 52.920.000/lượng. Giá chênh lệch mua bán cũng ghi nhận ở mức chưa từng có 1.120.000/lượng
Giá vàng tại Bảo Tín Minh Châu mua vào bán ra lần lượt là 51.900.000 và 52.680.000/lượng, tăng 650.000/lượng chiều mua và 1.230.000/lượng chiều bán. Mức chênh mua bán là 750.000/lượng
Tại PNJ, giá vàng mua vào ở mức 51.800.000/lượng (tăng 620.000/lượng) và bán ra ở mức 52.700.000/lượng (tăng 1.230.000/lượng). Chênh lệch mua bán là 900.000/lượng
Tập đoàn Phú Quý mua vào ở mức 52.100.000/lượng, bán ra 53.000.000/lượng, tăng 850.000/lượng chiều mua và 1.450.000/lượng chiều bán. Giá chênh mua bán là 900.000/lượng
Tại DOJI, giá vàng giao dịch ở mức 52.000.000/lượng chiều mua (tăng 800.000/lượng) và 52.700.000/lượng chiều bán (tăng 1.000.000/lượng). Mức chênh lệch mua vào bán ra là 700.000/lượng

Giá vàng thế giới

Giá vàng thế giới giao ngay hiện đang giao dịch ở mức 1857.7 USD/oz, tăng 16.8 USD/oz (0.91%) so với hôm qua.
Giá vàng tương lai niêm yết ở 1858.1 USD/oz, tăng 14.2 USD/oz, tương đương 0.77%.
Giá vàng tăng khi các nhà đầu tư tiếp tục tìm đến kim loại quý này như một biện pháp trú ẩn an toàn trong bối cảnh tình hình dịch bệnh Covid-19 vẫn đang diễn biến phức tạp tại nhiều quốc gia; căng thẳng địa chính trị Mỹ-Trung vẫn chưa có dấu hiệu hạ nhiệt.",22/07/2020,52.65,08:35,"Giá vàng ngày 22/7/2020: vàng tăng kỷ lục trong 1 thập kỷ, lên gần 53 triệu",increase
56.05,"Giá vàng hôm nay ngày 26/1/2021 tăng từ 50.000 đến 120.000 đồng/lượng. Biên độ chênh lệch mua vào bán ra từ 300.000 đến 520.000 đồng/lượng.
Giá vàng trong nước



Giá vàng SJC tăng 50.000/lượng chiều mua lên mức 56.050.000/lượng và chiều bán không đổi ở mức 56.570.000/lượng bán ra. Biên độ chênh lệch mua bán 520.000/lượng
Tại Bảo Tín Minh Châu, giá vàng mua vào 56.250.000/lượng và bán ra 56.550.000/lượng. Giá chênh lệch mua bán là 300.000/lượng
Tại PNJ, giá vàng chưa có sự điều chỉnh so với hôm qua, hiện vẫn giao dịch ở mức 56.050.000/lượng mua vào và 56.550.000/lượng bán ra. Mức chênh mua vào bán ra 500.000/lượng
Tập đoàn Phú Quý mua vào ở mức 56.150.000/lượng và bán ra ở mức 56.550.000/lượng. Mức chênh lệch mua vào bán ra là 400.000/lượng
Giá vàng tại DOJI tăng 120.000/lượng chiều mua lên mức 56.120.000/lượng, giảm 30.000/lượng chiều bán về mức 56.520.000/lượng. Mức chênh lệch mua bán là 400.000/lượng

Giá vàng thế giới



Giá vàng thế giới giao ngay ở mức 1858.10 USD/oz, tăng 0.14%, tương đương 2.6 USD
Giá vàng thế giới tương lai giao dịch ở mức 1854.9 USD/oz, giảm 0.3 USD/oz, tương đương 0.02%

Giá vàng đang được hỗ trợ bởi ""Bóng ma"" lạm phát trong những phiên gần đây khi thị trường tràn ngập tiền giá rẻ. Nữ Bộ trưởng Tài chính đầu tiên của Mỹ đã được thông qua bởi Ủy ban Tài chính Thượng viện Mỹ, đồng nghĩa bà có cơ hội cao được Thượng viện thông qua.
Trước đó, bà Janet Yellen ủng hộ một gói kích thích kinh tế lớn để vực dậy nền kinh tế đang trong khủng hoảng do Covid-19. Bên cạnh đó, mới đắc cử của Mỹ cũng cho hay, khủng hoảng kinh tế Mỹ đang xấu thêm và chính phủ cần có hành động mạnh tay ngay lúc này để giúp những người dân gặp khó khăn.",26/01/2021,56.55,08:25,Giá vàng hôm nay ngày 26/1/2021: vàng tiếp tục tăng,increase
67.3,"Giá vàng bất ngờ vọt tăng sau chuỗi ngày trầm lắng nhờ sự suy yếu của đồng USD.
Thời điểm 8h45 sáng nay ngày 24/8 theo giờ Việt Nam, giá vàng thế giới đứng ở mức 1.918 USD/ounce, tăng 17 USD/ounce so với cùng giờ sáng qua. 
Giá vàng bất ngờ vọt tăng sau chuỗi ngày trầm lắng nhờ sự suy yếu của đồng USD. Sáng nay, chỉ số US Dollar Index đo lường biến động đồng bạc xanh giảm 0,19% đã làm tăng sức hấp dẫn của vàng với người mua năm giữ các loại tiền tệ khác.
Hiện thị trường vẫn đang chờ đợi thông tin từ cuộc họp các ngân hàng thường niên do Cục Dự trữ liên bang Mỹ (Fed) tổ chức trong 3 ngày từ 24-26/8. Đặc biệt, ngày 25/8, Chủ tịch Fed ông Jerome Powell sẽ có bài phát biểu đưa ra quan điểm về chính sách tiền tệ của Fed trong thời gian tới.
Nhìn về trung hạn, Adrian Day, Chủ tịch của Adrian Day Asset Management, duy trì sự lạc quan vào thị trường vàng khi cho rằng nỗi lo ngại suy thoái sẽ hỗ trợ cho kim loại quý này. Mặc dù một số nhà kinh tế đang thay đổi dự báo của họ và loại bỏ khả năng về một cuộc suy thoái tiềm ẩn khi nền kinh tế đầu tàu thế giới tỏ ra rất kiên cường trong nửa đầu năm 2023, nhưng chuyên gia này nói rằng, nền kinh tế Mỹ vẫn đang trên đà suy yếu vào cuối năm.
Chuyên gia này nói thêm rằng, Fed càng duy trì mức lãi suất cao lâu bao nhiêu thì rủi ro mà chúng gây ra cho nền kinh tế càng lớn bấy nhiêu. Trong môi trường này, ông kỳ vọng việc các nhà đầu tư chuyển sang vàng để bảo vệ tài sản của họ chỉ là vấn đề thời gian khi nền kinh tế rơi vào suy thoái. Tuy nhiên, ông nói thêm rằng yếu tố kích thích vàng vẫn là chính sách tiền tệ của Fed. “Khi Fed ngừng thắt chặt trước khi lạm phát được kiểm soát, thì tôi nghĩ vàng sẽ tăng giá” Day nói.
Mặc dù lạc quan về giá vàng trong thời gian còn lại của năm, nhưng ông lưu ý rằng, kim loại quý này sẽ phải đối mặt với một số thách thức đáng kể trong ngắn hạn. Ông chỉ ra rằng trái phiếu kho bạc ngắn hạn hiện mang lại lợi suất khoảng 5%, đây là sự cạnh tranh đáng kể đối với vàng.


cùng chiều với giá vàng thế giới, vàng trong nước hôm nay cũng bật tăng mạnh, chạm mốc 68 triệu đồng/lượng. Chênh lệch giữa giá vàng trong nước và thế giới khoảng trên 12 triệu đồng/lượng.  
Mở cửa phiên giao dịch sáng nay, Công ty Vàng bạc đá quý Sài Gòn niêm yết giá vàng SJC mua vào bán ra ở mức 67,45 - 68,07 triệu đồng/lượng, tăng 150.000 đồng/lượng so với chốt phiên hôm qua.
Vàng Doji HN niêm yết giá vàng ở mức 67,3 - 68,1 triệu đồng/lượng, tăng 200.000 đồng/lượng so với phiên gần nhất. 
Vàng PNJ niêm yết giá vàng SJC ở mức 67,25- 67,9 triệu đồng/lượng, tăng 200.000 đồng/lượng so với phiên liền trước.

Vàng thế giới tăng trở lại trong bối cảnh đà tăng của đồng USD chững lại và lợi tức trái phiếu Mỹ quay đầu giảm nhẹ.",24/08/2023,67.9,08:30,"Giá vàng hôm nay 24/8: Bật tăng phi mã, vàng SJC chạm mốc 68 triệu đồng",increase
56.7,"Giá vàng lúc 9h43 ngày 18/8/2020 tăng sốc lên hơn 58 triệu với mức tăng từ 1.500.000 đến 1.950.000 đồng/lượng. Mức chênh lệch mua vào bán ra từ 1.100.000 đến 1.670.000 đồng/lượng.
Giá vàng trong nước


Giá vàng tại SJC tăng 1.700.000/lượng chiều mua lên mức 56.800.000/lượng, chiều bán tăng 1.950.000/lượng lên mức 58.470.000/lượng. Mức chênh mua bán là 1.670.000/lượng
Giá vàng tại BTMC vẫn chưa có sự điều chỉnh so với hôm qua, hiện vẫn niêm yết ở mức 55.350.000/lượng mua vào và 56.500.000/lượng bán ra. Giá chênh mua bán là 1.150.000/lượng
Tại PNJ, giá vàng giao dịch ở mức 57.100.000/lượng mua vào (tăng 1.800.000/lượng), bán ra ở mức 58.400.000/lượng (tăng 1.900.000/lượng). Giá chênh mua vào bán ra là 1.300.000/lượng
Tập đoàn Phú Quý niêm yết giá vàng mua vào bán ra lần lượt là 57.000.000 và 58.400.000/lượng, tăng 1.800.000/lượng chiều mua và 1.900.000/lượng chiều bán. Biên độ giãn cách mua bán là 1.400.000/lượng
Tại DOJI, giá vàng mua vào ở mức 57.100.000/lượng, bán ra ở mức 58.200.000/lượng, tăng 1.600.000/lượng chiều mua và 1.500.000/lượng chiều bán. Theo đó, giá chênh mua bán là 1.100.000/lượng

Giá vàng thế giới


Giá vàng thế giới giao ngay tăng lên mức 1993.3 USD/oz, tăng 8.83 USD/oz, tương đương 0.45%
Giá vàng thế giới tương lai đã vượt mốc 2.000 USD/oz, lên mức 2004.9 USD/oz, tăng 6.2 USD/oz, tương đương 0.31%

Vàng thế giới tăng trở lại mốc 2.000 USD/oz sau khi giảm mạnh trong nửa cuối tuần trước. Sự suy yếu của đồng USD và sự sụt giảm của lợi tức trái phiếu Mỹ là các yếu tố khiến giá vàng tăng lên.
Vàng được dự báo vẫn sẽ tăng trong dài hạn do thế giới vẫn đang đối mặt với nhiều bất ổn, trong đó có đại dịch Covid-19. Triển vọng nền kinh tế thế giới vẫn khá mờ mịt.
Bên cạnh đó, giới đầu tư cũng lo ngại về một đợt khủng hoảng tiếp theo, được cho là hậu quả của các cuộc in và bơm tiền chưa từng có của hầu hết các quốc gia trên thế giới (để chống lại tác động của Covid-19).",18/08/2020,58.45,08:40,Giá vàng hôm nay ngày 18/8/2020: vàng tăng sốc lên hơn 58 triệu,increase
57.55,"Giá vàng hôm nay ngày 25/10/2021 tăng 50.000 đến 100.000/lượng. Biên độ chênh lệch mua vào bán ra từ 520.000 đến 750.000 đồng/lượng.
Giá vàng trong nước


Giá vàng SJC mua vào bán ra lần lượt là 57.550.000/lượng và 58.270.000/lượng. Mức chênh lệch mua bán 720.000/lượng
Tại Bảo Tín Minh Châu, giá vàng mua vào 57.570.000/lượng và bán ra 58.090.000/lượng. Giá chênh lệch mua bán là 520.000/lượng
Tại PNJ, giá vàng giao dịch ở 57.600.000/lượng mua vào (tăng 50.000/lượng) và 58.250.000/lượng bán ra (tăng 100.000/lượng). Mức chênh mua vào bán ra 650.000/lượng
Giá vàng tại Phú Quý giao dịch ở mức 57.550.000/lượng mua vào và 58.150.000/lượng bán ra (tăng 50.000/lượng). Mức chênh lệch mua vào bán ra là 600.000/lượng
Giá vàng tại DOJI mua vào bán ra lần lượt là 57.400.000/lượng và 58.150.000/lượng (tăng 50.000/lượng). Mức chênh lệch mua bán là 750.000/lượng.

Giá vàng thế giới



Giá vàng thế giới giao ngay ở mức 1793.56 USD/oz, tăng 0.07%, tương đương 1.28 USD
Giá vàng thế giới tương lai giao dịch ở mức 1795.1 USD/oz, giảm 1.2 USD/oz, tương đương 0.07%

Theo khảo sát về giá vàng tuần tới của Kitco với 15 chuyên gia trên phố Wall, có tới 13 dự báo vàng tăng giá, 2 người nhận định giá vàng sẽ đi ngang và không có ý kiến cho rằng vàng sẽ giảm.
Đối với khảo sát trực tuyến với 598 người tham gia, 60% trong số đó tin rằng giá vàng sẽ tăng, 22% cho rằng giá giảm và 18% có quan điểm giá vàng sẽ ít thay đổi.
Trong khi áp lực lạm phát tiếp tục hỗ trợ giá vàng, các nhà phân tích lưu ý rằng kim loại quý đối mặt với sự cạnh tranh mới, đặc biệt là từ Bitcoin.
Ole Hansen, người đứng đầu chiến lược hàng hóa tại Ngân hàng Saxo cho biết, Bitcoin đã lấy đi một phần động lực và vốn khỏi thị trường nhưng vàng còn lâu mới lỗi thời.",25/10/2021,58.25,09:05,Giá vàng hôm nay ngày 25/10/2021: vàng tăng nhẹ phiên đầu tuần,increase
