,BID_PRICE,CONTENT,DATE,PRICE,TIME,TITLE,labels
694,74.0,"Chuyên gia nhận định các yếu tố đang nghiêng về khả năng tăng và giá vàng có thể quay lại mức đỉnh.
Thời điểm 8h45 sáng nay ngày 15/1 theo giờ Việt Nam, giá vàng thế giới đứng ở mức 2.051 USD/ounce, tăng nhẹ 2 USD/ounce so với chốt phiên tuần trước. 
Theo đánh giá của các chuyên gia, vàng đang hoạt động trong môi trường thuận lợi khi được hỗ trợ bởi nhiều yếu tố. David Erfle, một nhà đầu tư trong lĩnh vực khai thác mỏ cho rằng, Cục Dự trữ Liên bang Mỹ (Fed) đang đứng giữa lựa chọn khó khăn là có nên tăng lãi suất hay không.
Nếu Ngân hàng Trung ương Mỹ tiến hành nới lỏng chính sách tiền tệ khi lạm phát vẫn chưa về mức mục tiêu 2%, sẽ khiến nguy cơ lạm phát giá tăng trở lại. Tuy nhiên, nếu chính sách tiền tệ tiếp tục thắt chặt sẽ gây áp lực lên nền kinh tế và khả suy thoái có thể xảy ra. Erfle cho rằng, cả 2 kịch bản trên đều có lợi cho vàng. Ngoài ra, vàng cũng được hỗ trợ khi lực cầu trú ẩn an toàn vào kim loại quý đang ngày càng cao do những lo ngại liên quan đến bất ổn chính trị.
Đồng quan điểm, Adrian Day - Chủ tịch Adrian Day Asset Management, Mark Leibovit - nhà xuất bản của VR Metals/Resource Letter và nhà phân tích cấp cao Jim Wyckoff của Kitco cũng đồng loạt bày tỏ lạc quan về triển vọng của kim loại quý trong tuần này.
Thậm chí, Marc Chandler - Giám đốc điều hành Bannockburn Global Forex - công ty chuyên cung cấp dịch vụ tư vấn tiền tệ - còn nhận định các yếu tố đang nghiêng về khả năng tăng và giá vàng có thể quay lại mức đỉnh 2.088 USD.
Tuy nhiên, vẫn có những chuyên gia đi hướng ngược chiều như James Stanley - chiến lược gia thị trường cấp cao tại Forex.com. Ông là người duy nhất dự đoán giá vàng sẽ giảm vào tuần này. Ông nghĩ rằng mức kháng cự tại 2.075/2.081 USD/ounce sẽ vẫn là một rào cản khó vượt qua đối với vàng.


Tại thị trường trong nước, mở cửa phiên giao dịch sáng nay, Công ty Vàng bạc đá quý Sài Gòn niêm yết giá vàng SJC mua vào bán ra ở mức 74,3 - 76,8 triệu đồng/lượng, tăng 300.000 đồng/lượng chiều mua vào và giảm 200.000 đồng/lượng chiều bán ra so với chốt phiên gần nhất.
Vàng Doji HN niêm yết giá vàng ở mức 74,5 - 76,75 triệu đồng/lượng, tăng 300.000 đồng/lượng chiều mua vào và giảm 200.000 đồng/lượng chiều bán ra so với chốt phiên liền trước.
Công ty Cổ phần Vàng Bạc Đá quý Phú Nhuận (PNJ) niêm yết giá vàng SJC tại thị trường Hà Nội ở mức 74,5 -77,5 triệu đồng/lượng. Giá vàng nhẫn niêm yết ở mức 62,5 - 63,6 triệu đồng/lượng, tăng 100.000 đồng/lượng cả hai chiều so với chốt phiên hôm qua.
Phú Quý SJC đang niêm yết vàng miếng SJC với giá 74,05 - 76,95 triệu đồng/lượng, tăng 100.000 đồng/lượng cả hai chiều so với chốt phiên hôm trước.

Giá vàng hiện vẫn dao động ở trên ngưỡng 2.000 USD/ounce và cần thêm thời gian để bứt phá xa khỏi ngưỡng này.",15/01/2024,77.0,08:30,Giá vàng hôm nay 15/1: Vàng sẽ tăng lại mức đỉnh vào tuần này?,increase
638,70.1,"Giá vàng giằng co trước những diễn biến khó đoán định của nền kinh tế Mỹ, và những bất ổn địa chính trị trên phạm vi toàn cầu.
Lúc 8h sáng nay (2/11, theo giờ Việt Nam), giá vàng thế giới giao dịch ở mức 1.986 USD/ounce. So với cùng giờ giao dịch sáng qua, giá vàng tăng nhẹ. 
Giá vàng lùi sâu xuống dưới ngưỡng 2.000 USD/ounce khi Mỹ công bố thị trường lao động nước này tiếp tục suy yếu với số lượng công việc mới trong tháng 10 chỉ đạt 113.000, thấp hơn so với mức kỳ vọng 149.000 do các nhà kinh tế đưa ra trước đó. 
Cục Dự trữ Liên bang (Fed) quyết định giữ nguyên lãi suất ở mức 5,25% -5,5%. Đồng thời, FED cũng thông báo các quyết định tiếp theo về chính sách tiền tệ vẫn phụ thuộc vào dữ liệu kinh tế và các điều kiện tài chính, tín dụng.
Phản ứng thông tin trên, chỉ số USD Index tăng lên 107 điểm, giúp đồng USD tăng giá so với 6 đồng tiền mạnh khác. Theo đó, nhiều người dã dồn vốn vào cổ phiếu khiến dòng tiền chảy vào thị trường vàng bị hạn chế. Giá vàng hôm nay của thế giới giằng co là tất yếu.
Trong một cuộc phỏng vấn gần đây với Kitco News, George Milling-Stanley - chiến lược gia trưởng về vàng tại State Street Global Advisors - kỳ vọng rằng giá vàng sẽ được thúc đẩy nhiều hơn bởi nhu cầu trú ẩn an toàn trong bối cảnh kinh tế toàn cầu đang yếu đi, cùng với sự bất ổn địa chính trị toàn cầu gia tăng.


Ở thị trường trong nước, Công ty Vàng bạc đá quý Sài Gòn niêm yết giá vàng SJC mua vào bán ra ở mức 70,05 - 70,75 triệu đồng/lượng, tăng 100.000 đồng/lượng  so với hôm qua.
Vàng Doji HN niêm yết giá vàng ở mức 70,05 - 70,8 triệu đồng/lượng, tăng 100.000 đồng/lượng chiều mua vào và  tăng 50.000 đồng/lượng chiều bán ra so với chốt phiên giao dịch trước.
Công ty Cổ phần Vàng Bạc Đá quý Phú Nhuận (PNJ) niêm yết giá vàng SJC tại thị trường Hà Nội ở mức 70,150 -70,9 triệu đồng/lượng.

Từ niềm đam mê đặc biệt với công việc nấu nướng, chị Giang vừa có thể chăm sóc con cái, gia đình, vừa có nguồn thu nhập nhiều người mơ ước.",02/11/2023,70.8,08:30,"Giá vàng hôm nay 2/11: Đón tin xấu, giá vàng diễn biến ra sao?",decrease
133,54.1,"Giá vàng hôm nay ngày 02/12: Sau nhiều diễn biến rớt giá có thể coi là ""thê thảm"", giá vàng hôm nay bất ngờ tăng trở lại, mức tăng thêm từ 300.000/lượng đến 700.000/lượng.
Giá vàng trong nước


 

Trong phiên giao dịch sáng nay (theo giờ Việt Nam) giá vàng tại SJC đang niêm yết là 54.200.000/lượng mua vào và 54.870.000/lượng bán ra. Tăng hơn 500.000/lượng đối với cả hai chiều mua và bán.

 

Tại Bảo Tín Minh Châu , các mức giá hiện nay lần lượt là 54.250.000/lượng mua vào và 54.700.000/lượng bán ra. Tăng mạnh cả hai chiều là 700.000/lượng mua vào và 600.000/lượng bán ra.

 

Trong khi đó vàng bạc đá quý PNJ ,giá mua vào – bán ra hiện nay lần lượt là 54.200.000/lượng và 54.800.000/lượng. Mức tăng theo thống kê hiện nay là 450.000/lượng mua vào và 300.000/lượng bán ra.

 

Tiếp theo là Vàng Bạc Phú Quý đang có các mức giá bán như sau: 54.150.000/lượng mua vào và 54.700.000/lượng bán ra.

 

Cuối cùng, không phải ngoại lệ khi tại DOJI hôm nay giá vàng đang ở mức 54.150.000/lượng đối với mua vào và 54.700.000/lượng bán ra. Chiều mua vào tăng mạnh 700.000/lượng và chiều bán là 450.000/lượng.

Giá vàng thế giới



 

Giá vàng thế giới giao ngay theo cập nhật mới nhất đang ở mức 1812.70 USD/oz, tương đương - 0.12%
Giá vàng thế giới tương lai giao dịch ở mức 1816.1 USD/oz, tương đương - 0.15%

 

Trên Kitco.com, tại thời điểm 7h30 sáng ngày hôm nay 2/12 (theo giờ Việt Nam), giá vàng giao ngay được giao dịch ở mức 1.813 USD/ounce, tăng 37 USD so với giá kết phiên giao dịch gần nhất. Giá vàng giao tháng 12/2021 trên sàn Comex New York được giao dịch ở mức 1.829 USD/ounce.

Quy đổi theo tỷ giá USD, vàng thế giới hiện đang được giao dịch ở mức 50,8 triệu đồng/lượng (chưa tính thuế và phí), thấp hơn khoảng 3-3,5 triệu đồng/lượng so với giá vàng trong nước.

Trong một báo cáo được công bố vào tuần trước, các nhà phân tích tại ANG Traders nói rằng họ thấy giá vàng tăng lên 1.900 USD/ounce do giá đã bật khỏi mức hỗ trợ quan trọng 1.770 USD/ounce.

Một số nhà phân tích cho rằng trong trường hợp xấu nhất, vàng có thể mất ngưỡng hỗ trợ 1.700 USD. Sunil Kumar Dixit tại SK Dixit Charting ở Kolkata, Ấn Độ, là một trong số những người đang chuẩn bị cho tình huống này. Ông nói: “Việc không giữ được trên ngưỡng hỗ trợ quan trọng 1.748 USD có thể khiến vàng tiếp tục giảm xuống còn 1.688 USD và 1.660 USD”.

Ed Moya, chiến lược gia thị trường cấp cao tại OANDA của New York cho biết: “Vàng đã tạm thời mất đi sức hút an toàn và không còn tăng giá khi chứng khoán giảm nhưng điều đó sẽ thay đổi”.

Mặc dù vàng có khả năng tăng cao hơn trong ngắn hạn, nhưng theo ANG, triển vọng trung hạn của vàng lại không mấy sáng sủa. Các nhà phân tích nhận định, trong trung hạn (6 tháng), vàng có thể sẽ suy yếu, nhưng sau đó, nhiều khả năng kim loại quý này sẽ bước vào một thị trường tăng giá kéo dài.

Hiện tại, ANG lưu ý rằng rủi ro đáng kể nhất đối với vàng là đồng USD. Trong trung hạn, đồng USD có thể khiến vàng giảm giá trong vài tháng, cho đến khi nền kinh tế được phục hồi và cải thiện.

Chiến lược gia hàng hóa cấp cao của Bloomberg Intelligence, ông Mike McGlone dự báo, giá vàng sẽ cao hơn khoảng 50% so với mức kháng cự trung bình được giữ trong 5 năm vào năm 2020 và đạt gần 2.100 USD/ounce vào đầu năm 2021.",02/12/2020,54.75,08:30,Giá vàng hôm nay ngày 02/12: Giá vàng đột ngột tăng trở lại,increase
355,69.55,". Giá vàng năm châu không ngừng cắm đầu lao dốc trong phiên mua bán sáng hôm nay.
 khi 8h30 sáng ngày hôm nay ( 20/4, theo giờ nước ta ) , giá vàng toàn cầu mua bán ở mức 1 .944 usd/ounce, lao dốc 32 usd/ounce đối chiếu với cùng giờ sáng qua .
 giá vàng sáng ngày hôm nay lao dốc hầu hết là bởi đồng usd chạm mức kỷ lục trong hai năm và lợi suất trái phiếu thời gian một thập niên của mỹ đã được tăng lên gần 3% - mức kỷ lục tính từ giữa tháng ba/2018. Cục tích trữ liên bang mỹ ( fed ) dự tính sẽ mạnh tay hơn trong lĩnh vực bó chặt chính sách tiền tệ. Trong hội nghị tháng năm, có thể fed sẽ tăng lợi tức thêm 50 điểm căn bản để giảm nhiệt lạm phát.
 trong khi ấy, chứng khoán mỹ đêm hôm trước cùng lúc xanh sàn, chứng minh một phần dòng vốn trên khu vực kinh doanh đang dồn vào cổ phiếu.
 trước bối cảnh trên, giới đầu cơ vàng cảm thấy giá kim loại hiếm quý lâm vào tình thế không thuận lợi nên nhanh tay thương mại bán kiếm lãi, thổi giá vàng tụt một mạch hơn 30 usd/ounce.
 về xu thế giá vàng, vàng vẫn nằm trong chiều hướng lên giá lúc mà lạm phát dâng cao và trận chiến đấu giữa nga-ukraine chưa có tín hiệu giảm nhiệt. Kịch tính địa chính trị những lực số lượng đủ mạnh để thổi giá vàng trở lại trên 2.000 usd/ounce.
 quỹ tiền tệ toàn cầu ( imf ) vừa nhắc nhở trận chiến đấu nga và ukraine nhiều khả năng hăm dọa sự khôi phục kinh tế của năm châu. giới theo dõi e ngại cuộc thoái hóa nếu lạm phát giữ vững ở mức cao trong khoảng thời gian dài. E ngại tăng thêm lúc trung quốc đại lục làm mạnh giải pháp zero-covid, vốn định hình nên những cú choáng lớn trong dây chuyền cung ứng. Những điều này sẽ thổi giá vàng tăng trưởng như trước đây.


 ở khu vực kinh doanh nội địa, giá vàng vẫn nằm ở mức cao. Hoạt động phiên mua bán sáng hôm nay, doanh nghiệp vàng bạc đá quý tp hcm công bố giá vàng sjc mua vào thương mại ở mức 70,05-70,75 triệu đồng/lượng, tăng 150.000 đồng/lượng ở cả 2 chiều đối chiếu với ngày hôm qua.
 vàng doji công bố giá vàng ở mức 70,0-70,8 triệu đồng/lượng, tăng 300 .000 đồng/lượng chiều mua vào và tăng 250.000 đồng/lượng chiều thương mại đối chiếu với chốt phiên gần đây nhất.
 phú quý sjc công bố giá vàng ở mức 69,55-70,25 triệu đồng/lượng, bớt 400.000 đồng/lượng chiều mua vào và giảm thiểu 300 .000 đồng/lượng chiều thương mại đối chiếu với chốt phiên liền trước.

 trong giai đoạn vô số tay chơi bán tống bán tháo trong hoảng sợ và bỏ chạy tán loạn bởi đà giảm mạnh của khu vực kinh doanh chứng khoán, nữ đại gia người thủ đô này vẫn bỏ túi tới hơn 1 .700 tỷ đồng sau.",20/04/2022,70.25,08:55,"Giá vàng hôm nay 20/4: Hụt hơi, vàng quay đầu giảm sốc",decrease
55,60.6,"Giá vàng lúc 9h34 ngày 7/8/2020 tiếp tục lập đỉnh mới trên 62 triệu với mức tăng từ 700.000 đến 1.400.000 đồng/lượng. Mức chênh lệch mua vào bán ra từ 1.000.000 đến 2.000.000 đồng/lượng.
Giá vàng trong nước


Giá vàng tại SJC mua vào ở mức 60.600.000/lượng (tăng 1.000.000/lượng), bán ra ở mức 62.220.000/lượng (tăng 800.000/lượng). Giá chênh mua bán là 1.620.000/lượng
Tại Bảo Tín Minh Châu, giá vàng mua vào bán ra lần lượt là 60.900.000 và 62.200.000/lượng, tăng 1.300.000/lượng chiều mua và 1.200.000/lượng chiều bán. Biên độ giãn cách mua bán là 1.300.000/lượng
Giá vàng tại PNJ tăng 700.000/lượng chiều mua lên mức 60.300.000/lượng, chiều bán tăng 1.100.000/lượng lên mức 62.100.000/lượng. Giá chênh mua bán là 1.800.000/lượng
Tập đoàn Phú Quý mua vào ở mức 61.000.000/lượng và bán ra ở mức 62.000.000/lượng, tăng 1.400.000/lượng chiều mua và 1.000.000/lượng chiều bán. Mức chênh lệch mua vào bán ra là 1.000.000/lượng
Giá vàng DOJI mua vào bán ra lần lượt là 60.200.000 và 62.200.000/lượng, tăng 700.000/lượng chiều mua và 1.300.000/lượng chiều bán. Mức chênh lệch mua vào bán ra là 2.000.000/lượng

Giá vàng thế giới


Giá vàng thế giới giao ngay ở mức 2065.82 USD/oz, tăng 2.26 USD/oz, tương đương 0.11%
Giá vàng thế giới tương lai giao dịch ở mức 2078.5 USD/oz, tăng 9.1 USD/oz, tương đương 0.44%

Giá vàng thế giới vẫn tăng trong bối cảnh nhà đầu tư vẫn đang kỳ vọng vào gói giải cứu nền kinh tế tiếp theo của chính phủ Mỹ. Mặc dù, số đơn xin trợ cấp thất nghiệp của Mỹ gần đây đã giảm, nhưng số doanh nghiệp phá sản, xin đóng cửa của Mỹ lại tăng. Những nỗ lực mở cửa trở lại khiến tốc độ gia tăng lây nhiễm dịch bệnh của Mỹ cũng tăng nhanh.
Căng thẳng Mỹ-Trung vẫn diễn biến phức tạp, cùng với đó là sự suy yếu của đồng USD,.. khiến các nhà đầu tư tìm đến vàng như một sự trú ẩn an toàn.",07/08/2020,62.2,10:10,Giá vàng ngày 7/8/2020: lập đỉnh mới trên 62 triệu,increase
409,64.3,Tài khoản không đủ để thực hiện chức năng này. Vui lòng truy cập https://my.tiengviet.io/ và nạp thêm tiền vào tài khoản.,22/07/2022,66.3,09:15,"Giá vàng hôm nay 22/7: Vàng thế giới tăng sốc, giá vàng tại Việt Nam sẽ ra sao?",decrease
594,67.45,"Vàng vừa trải qua một tuần tăng hơn 1,3% giá trị, Tuần này, chuyên gia dự đoán thế nào?
Thời điểm 8h45 sáng nay ngày 28/8 theo giờ Việt Nam, giá vàng thế giới đứng ở mức 1.915 USD/ounce, nhích tăng nhẹ 1 USD/ounce so với chốt phiên tuần trước. 
Giá vàng vừa trải qua một tuần tăng hơn 1,3% giá trị khi Chủ tịch Cục Dự trữ liên bang Mỹ (Fed) Jerome Powell phát tín hiệu tiếp tục tăng lãi suất trong năm nay. Tại Hội nghị chuyên đề ngân hàng trung ương ở Jackson Hole, người đứng đầu Fed cho biết rõ, sẽ duy trì mục tiêu lạm phát 2% và không tìm cách cắt giảm lãi suất sớm.
James Stanley, chiến lược gia thị trường cấp cao tại Forex.com, cho rằng kim loại quý sẽ tiếp tục tăng giá vào tuần này. Stanley nhận định: “Vàng mạnh một cách đáng ngạc nhiên ngay cả khi đồng USD mạnh trong tuần này và thủ phạm là sự yếu kém của đồng Euro (bằng 57,6% DXY). Sức mạnh của đồng USD thật đáng kinh ngạc nhờ phản ứng trước các thử nghiệm hỗ trợ, nhưng vàng vẫn tiếp tục tăng ngay cả trong bối cảnh đó”.
Những ngày tới, một loạt dữ liệu kinh tế quan trọng của nền kinh tế lớn nhất thế giới sẽ được công bố, bao gồm cơ hội việc làm, bảng lương phi nông nghiệp... giúp thị trường có cái nhìn sâu sắc hơn về bức tranh việc làm của Mỹ. GDP quý 2 sửa đổi cũng sẽ được công bố, cùng với chỉ số PCE và sản xuất ISM, điều này sẽ giúp các nhà đầu tư xác nhận quỹ đạo lãi suất do Fed lèo lái sẽ thế nào, khi cơ quan này cố gắng cân bằng rủi ro lạm phát và tăng trưởng.


Marc Chandler, Giám đốc điều hành tại Bannockburn Global Forex, cho rằng: “Tôi nghĩ giá vàng có tiềm năng quay trở lại khu vực 1.930-1.940 USD/ounce. Các chỉ báo động lượng đã tăng lên và mô hình mua có thể được nhìn thấy khi đường trung bình động 5 ngày vượt qua đường trung bình động 20 ngày. Các chỉ số kỹ thuật có vẻ mang tính xây dựng”.
Có cùng quan điểm, Adam Button, chuyên gia phân tích tiền tệ của Forexlive.com, cho rằng xu thế tăng đang hình thành trên thị trường vàng. Ông giải thích rằng, ngày càng có dấu hiệu cho thấy việc tăng lãi suất của ngân hàng trung ương đã kết thúc. Đến lúc đó, vàng sẽ bứt phá.
Ở thị trường trong nước, mở cửa phiên giao dịch sáng nay, Công ty Vàng bạc đá quý Sài Gòn niêm yết giá vàng SJC mua vào bán ra ở mức 67,45 - 68,07 triệu đồng/lượng, tăng 100.000 đồng/lượng chiều mua vào so với chốt phiên hôm qua.
Vàng Doji HN niêm yết giá vàng ở mức 67,2 - 68,1 triệu đồng/lượng, chưa đổi so với phiên gần nhất. 
Vàng PNJ niêm yết giá vàng SJC ở mức 67,3- 67,95 triệu đồng/lượng, chưa đổi so với phiên liền trước.

Sau 4 tuần giảm liên tiếp, giá vàng đã lấy lại được đà tăng giá trong tuần này và kết thúc tuần trên mức quan trọng 1.900 USD.",28/08/2023,68.05,08:30,Giá vàng hôm nay 28/8: Nhiều chuyên gia dự đoán lạc quan,increase
367,69.5,". Giá vàng lao dốc không phanh,""bay"" hết thành quả tăng giá của phiên sáng hôm qua.
 thời điểm 8h45 sáng nay 6/5 theo giờ việt nam, giá vàng thế giới đứng ở mức 1.867 usd/ounce, giảm mạnh 34 usd/ounce so với cùng giờ sáng qua. đêm qua, ngay khi thị trường mỹ mở cửa, giá vàng đã lao dốc một mạch như mất phanh, phủi sạch thành quả tăng giá của phiên sáng.
 sau khi tăng sốc vào sáng qua, giá kim loại qúi gặp phải áp lực chốt lời từ phía doanh nhân. Ngoài ra, sự phục hồi của đồng usd cũng là nguyên nhân khiến giá vàng đi xuống.
 thị trường vẫn đang từng bước nghe ngóng sau cuộc họp của cục dự trữ liên bang mỹ ( fed ) khi cơ quan này quyết định tăng lãi suất cơ bản thêm 0,5% trong giai đoạn mức lạm phát của mỹ cao nhất trong 40 năm. fed cũng nhấn mạnh mục đích của việc tăng lãi suất là đưa lạm phát xuống mức 2% và khi lạm phát được kiểm soát sẽ xuống mức tăng 25 điểm cơ bản.
 ở một diễn biến khác, thông tin mỹ đang xem xét việc gỡ bỏ thuế quan với 350 tỷ hàng hoá trung quốc cũng tạo tâm lý tích cực đối với cổ đông. điều này đã thúc đẩy dòng tiền chảy mạnh khỏi các tài sản an toàn, trong đó có kim loại qúi, qua đó khiến giá vàng đi xuống.
 các nhà đầu tư đang chờ báo cáo tình hình việc làm tháng 4 của mỹ vào sáng nay 6/5 với số lượng việc làm không phải chăn nuôi trồng trọt dự kiến ​​sẽ là 400.000 việc làm mới, thấp hơn con số 431.000 việc làm mới được làm ra trong báo cáo tháng 3. Dữ liệu việc làm cũng sẽ là căn cứ để fed tham khảo cho việc điều hành chính sách tiền tệ các kỳ tiếp theo.
 về mặt kỹ thuật, xu hướng giảm đang có lợi thế tổng thể kỹ thuật. Mục tiêu tăng giá tiếp theo là tạo ra mức đóng cửa trên ngưỡng mức kháng cự 1.950 usd/ounce. Mục tiêu giá giảm trong ngắn hạn là đẩy giá vàng xuống dưới ngưỡng hỗ trợ kỹ thuật vững chắc cũng là mức thấp nhất tuần này là 1.849,7 usd/ounce.


 ở thị trường trong nước, mở cửa phiên mua bán sáng nay, công ty vàng bạc đá quý sài gòn công khai giá vàng sjc mua vào bán ra ở mức 69,45-70,17 triệu đồng/lượng, giảm 200.000 đồng/lượng cả hai chiều so với chốt phiên hôm qua.
 vàng doji công khai giá vàng ở mức 69,45-70,15 triệu đồng/lượng, giảm 200.000 đồng/lượng cả hai chiều so với chốt phiên gần nhất.
 phú quý sjc công khai giá vàng ở mức 69,5-70,15 triệu đồng/lượng, giảm 200.000 đồng/lượng chiều mua vào và 220.000 đồng/lượng chiều bán ra so với chốt phiên liền trước.

 giá vàng thế giới và trong nước đều bật tăng mạnh, lấy lại hết những gì đã mất trong vài phiên vừa qua.",06/05/2022,70.2,08:40,Giá vàng hôm nay 6/5: Bất ngờ giảm sâu sau phiên tăng sốc,decrease
542,66.35,"Thị trường vàng đang bị kìm hãm bởi chính sách tiền tệ tích cực của các ngân hàng trung ương gần đây.
Thời điểm 7h35 sáng nay ngày 27/6 theo giờ Việt Nam, giá vàng thế giới đứng ở mức 1.924 USD/ounce, giảm 2 USD/ounce so với cùng giờ sáng qua.
Thị trường vàng đang bị kìm hãm bởi chính sách tiền tệ tích cực của các ngân hàng trung ương gần đây. Giá vàng dự kiến sẽ kết thúc tháng 6 với mức giảm khoảng 47 USD, đánh dấu tháng giảm tồi tệ nhất kể từ tháng 2. Kim loại quý đang phản ứng với việc các ngân hàng trung ương tiếp tục những luận điệu “diều hâu”.
Mặc dù vàng đã phải vật lộn để để tìm các động lực tăng giá khi giá giảm xuống dưới 1.950 USD/ounce, nhưng theo nghiên cứu đầu tư vàng mới nhất của State Street Global Advisors được công bố hôm thứ 2, bao gồm một cuộc khảo sát các nhà đầu tư, cho thấy nhu cầu của nhà đầu tư đối với kim loại quý vẫn tốt.
Các nhà phân tích cho rằng vàng vẫn là một công cụ đa dạng hóa danh mục đầu tư quan trọng trong thời điểm bất ổn gia tăng. Theo các chuyên gia, trong thời gian tới, thị trường vàng cần theo dõi cẩn thận các dữ liệu kinh tế vĩ mô, đặc biệt là báo cáo về lao động và lạm phát.


Daniel Ghali, chiến lược gia hàng hóa cấp cao của TD Securities cho biết, nhà đầu tư vàng cần tiếp tục chú ý loạt dữ liệu kinh tế, bao gồm báo cáo thất nghiệp và việc làm. Ông Ghali lưu ý, một cuộc suy thoái kinh tế có thể xảy ra trong quý IV. Qua đó, giá vàng có thể sẽ tăng lên mức 2.100 USD/ounce vào đầu năm tới.
Trong một cuộc phỏng vấn gần đây với Kitco News, Chiến lược gia trưởng George Milling-Stanle của State Street Global Advisors nói rằng, ông ít lo lắng về việc Cục Dự trữ Liên bang Mỹ (Fed) duy trì lập trường tích cực của mình với khả năng 2 lần tăng lãi suất nữa trong năm nay. Ông giải thích, mặc dù lãi suất tăng làm tăng chi phí cơ hội nắm giữ vàng và hỗ trợ đồng USD, nhưng lập trường tích cực của Fed cũng có thể đẩy thế giới đến gần suy thoái hơn. 
Tại thị trường trong nước, mở cửa phiên giao dịch sáng nay, Công ty Vàng bạc đá quý Sài Gòn niêm yết giá vàng SJC mua vào bán ra ở mức 66,4 - 67,02 triệu đồng/lượng, chưa đổi so với chốt phiên hôm trước.
Vàng Doji HN niêm yết giá vàng ở mức 66,45 - 67,05 triệu đồng/lượng, chưa đổi so với chốt phiên hôm qua.
Phú Quý SJC niêm yết giá vàng ở mức 66,45 - 67,05 triệu đồng/lượng, giữ nguyên so với phiên giao dịch trước đó.

Một số nhà phân tích lưu ý rằng bây giờ là thời điểm để mua vào, để xây dựng một hàng rào chống lại sự suy thoái tiềm tàng trên thị trường.",27/06/2023,66.95,08:30,"Giá vàng hôm nay 27/6: Bị kìm hãm, vàng chưa thể bật tăng",decrease
356,69.55,". Sau một phiên giảm đột ngột về đáy 2 tuần, giá vàng đã quay đầu hồi phục nhẹ.
 thời điểm 8h45 sáng nay 21/4 theo giờ việt nam, giá vàng thế giới đứng ở mức 1.956 usd/ounce, tăng 12 usd/ounce so với cùng giờ sáng qua. Hôm qua, giá vàng đã có một phiên giảm sâu đột ngột, về vùng đáy 2 tuần. Tuy nhiên tới đêm qua đã bắt đầu hồi phục.
 một số chuyên gia cho rằng, vàng mất đà tăng trong những ngày gần đây là do cộng hưởng từ nhiều nguyên nhân, trong đó có việc lợi suất trái phiếu kho bạc mỹ tăng và đồng usd mạnh.
 lợi suất trái phiếu kho bạc mỹ kỳ hạn 10 năm hiện đã tăng vượt mức 2,95%, cao nhất kể từ năm 2018. đồng usd cũng tăng mạnh do hưởng lợi từ chủ trương chính sách tiền tệ của cục dự trữ liên bang mỹ ( fed ). Sự mạnh lên của đồng bạc xanh khiến những hàng hóa định giá bằng usd như vàng trở nên đắt đỏ hơn đối với những người nắm giữ tiền tệ khác.
 trước đó, vào phiên thứ hai ( 18/4 ), giá quý kim đã tiến gần đến mức tâm lý quan trọng là 2.000 usd/ounce, trước khi lao dốc.
 carlo alberto de casa, nhà phân tích thị trường tại kinesis cho biết: ""theo quan điểm kỹ thuật, 2.000 usd là mức kháng cự quan trọng và ngăn đà tăng của giá vàng. Phần lớn giới đầu tư cũng đang chờ đợi fed tăng lãi suất thêm 50 điểm cơ bản"" .
 về dài hạn, các nhà phân tích của ngân hàng ubs  ( thụy sỹ ) cho rằng, cuộc xung đột tại ukraine, tình trạng lạm phát gia tăng trên toàn cầu vẫn là những nhân tố hỗ trợ giá vàng.


 ở thị trường trong nước, giá vàng vẫn neo ở mức cao. Mở cửa phiên giao dịch sáng nay, công ty vàng bạc đá quý sài gòn niêm yết giá vàng sjc mua vào bán ra ở mức 69,55-70,27 triệu đồng/lượng, tăng 50.000 đồng/lượng ở cả 2 chiều so với chốt phiên hôm qua.
 vàng doji niêm yết giá vàng ở mức 69,6-70,3 triệu đồng/lượng, tăng 100.000 đồng/lượng chiều mua vào và tăng 50.000 đồng/lượng chiều bán ra so với chốt phiên gần nhất.
 phú quý sjc niêm yết giá vàng ở mức 69,55-70,25 triệu đồng/lượng, tăng 50.000 đồng/lượng chiều bán ra so với chốt phiên liền trước.

 giá vàng thế giới tiếp tục cắm đầu giảm mạnh trong phiên giao dịch sáng nay.",21/04/2022,70.25,08:35,Giá vàng hôm nay 21/4: Phục hồi mạnh mẽ sau phiên giảm sốc,increase
